"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight","highlight 2","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","highlight-color 2","air3-token 5","air3-token 6","air3-token 7","highlight 6","highlight 7"
"6 hours ago","Full Stack Developer (Node.js + React) to Finalize CRM SaaS for Launch","https://www.upwork.com/jobs/Full-Stack-Developer-Node-React-Finalize-CRM-SaaS-for-Launch_~021917475385168010471/?referrer_url_path=/nx/search/jobs/","Hourly: $25.00 - $25.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","We are launching a CRM SaaS platform focused on sales and marketing teams across Australia and the Middle East. The system is already functional, built in Node.js (Express) and React.js, and we’re now looking for a developer to finalize, secure, and enhance the platform for a proper commercial rollout.

🔧 Tech Stack:
Backend: Node.js, Express.js, Sequelize ORM, PostgreSQL (or MySQL)

Frontend: React.js (with CSS Modules or SCSS)

Authentication: JWT, bcrypt

Deployment: Manual (would like to move toward Docker + CI/CD)

🚀 Your Role:
We need you to help us:

✅ Add rate limiting and input validation (security upgrades)

✅ Improve mobile responsiveness (some UI squishes on small screens)

✅ Refactor for multi-tenant support (separate data per client/org)

✅ Integrate Stripe subscriptions for SaaS billing

✅ Create a simple white-label config system (logo/colors/themes)

✅ (Optional) Set up Docker & deployment automation

✅ Requirements:
Strong experience with Node.js and React.js

Familiarity with Stripe or SaaS billing platforms

Good understanding of REST APIs, auth, and secure coding practices

Can write clean, modular, well-commented code

Bonus: Experience working on CRM or SaaS tools

🧠 Why This Project?
We’re serious about launching a quality product — and we want the right developer to make it a success. You’ll be working closely with the founder and given detailed audits and technical breakdowns of what needs to be done. We’re open to your input and want you to treat the project like your own.

💼 Project Type:
Short-term (2–4 weeks) to complete upgrades

Option for ongoing work after launch with our project management software next.

Fully remote

💰 Budget:
Open to hourly or milestone-based fixed pricing

Please include your preferred rate in your proposal

🔗 To Apply:
Please send:

A short intro on your experience with SaaS or CRMs

Links to any relevant projects

Your GitHub profile or code samples (if available)

Your proposed rate and availability","","","","","","Web Application","AI Agent Development","Full-Stack Development","Payment Gateway Integration","Java","","+4","React","","",""
"6 hours ago","UX/UI Designer Needed for Dashboard System","https://www.upwork.com/jobs/Designer-Needed-for-Dashboard-System_~021917474635337433039/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$200.00","We are seeking a UX/UI Designer to enhance our dashboard system. The ideal candidate will have a passion for creating intuitive user experiences. Proficiency in design tools like Figma or Adobe XD is essential. If you're ready to make an impact with your design expertise, we'd love to see your !

Pages we need:
- Dashboard page
- Appointments page
- Patients List page
- Patient module forms for adding medical records (page)
- Billing page","application","","","","","Web Design","User Interface Design","Wireframing","Responsive Design","Software Design","","","","","",""
"6 hours ago","Bubble Developer Needed to Build MVP for Online Course Marketplace (Russian-speaking)","https://www.upwork.com/jobs/Bubble-Developer-Needed-Build-MVP-for-Online-Course-Marketplace-Russian-speaking_~021917473720408461482/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$1,000.00","📝 Job Description:
We are building an online course marketplace for Kazakhstan, similar to Udemy, tailored for local creators and learners. We've purchased the Learnify Bubble template and now need a skilled Bubble developer to help us launch a polished MVP within 3–4 weeks.

🔧 Key Responsibilities:
Customize the Learnify template to fit our branding and user flow

Implement core features:

Course creation, video hosting, quizzes, certificates

Homework/file upload by students

Instructor dashboards

Student progress tracking

Search & filter system

Configure local payment systems:

Card payments

Kaspi Pay (by order number or redirect)

Google Pay (if possible)

Set up multi-language support (Kazakh, Russian, English)

Integrate or simulate live lesson functionality (Zoom, Jitsi, etc.)

Connect an AI assistant (ChatGPT) for answering student questions

Ensure full responsiveness (desktop, tablet, mobile)

✅ Ideal Candidate:
Strong Bubble.io experience (MVPs, templates, custom workflows)

Prior experience with marketplace or education platforms

Able to work fast and communicate clearly

Knows how to integrate local payments/APIs or simulate them for MVP

Bonus: Familiar with AI tools (OpenAI API), UX for student platforms

💼 Project Scope:
Timeline: 3–4 weeks

Budget: $1,000–$1,200 for MVP

Long-term potential: Ongoing support, new features, scaling

🎯 To Apply:
Please share:

Your best Bubble project (especially marketplaces or learning apps)

Experience with payment integrations (especially localized ones)

Estimated timeline to launch MVP with above features","","","","","","Web Application Development","Responsive Design","API Integration","Bubble.io","","Web Design","+3","","","",""
"7 hours ago","Property Management and Listing   Development","https://www.upwork.com/jobs/Property-Management-and-Listing-span-class-highlight-Web-span-span-class-highlight-Application-span-Development_~021917471020831782645/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$100.00","We are seeking an experienced developer to create a comprehensive property management and listing  . The ideal candidate will have a strong background in  development and familiarity with property management solutions. The project involves designing user-friendly interfaces, implementing database functionalities, and ensuring scalability for future enhancements. Your expertise will be crucial in delivering a robust platform that meets our needs. If you have a passion for creating innovative solutions and a proven track record in similar projects, we would love to hear from you.","web","application","web","","","Web Development","HTML","PHP","Data Entry","","Web Design","","","","Web","Application"
"7 hours ago","UX Designer Needed for Fintech Demo App (Startup Project – FinE Sol)","https://www.upwork.com/jobs/Designer-Needed-for-Fintech-Demo-App-Startup-Project-FinE-Sol_~021917469671227379882/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$80.00","We are a fintech startup building FinE Sol, a smart financial solution platform aimed at simplifying access to financial insights and services. We’re currently working on a demo version of the  that showcases limited but important data and functionality — this will serve as the foundation for a fully functional  app in the near future.

We are looking for a creative and detail-oriented UX Designer who can help us design an intuitive and engaging user experience for this demo version, focusing on usability, flow, and clarity.

Project Scope:

Design the user experience for a fintech  app demo

Translate business goals and user needs into seamless UX flows

Create wireframes, user journeys, and high-level prototypes for a data-driven interface

Collaborate with our team to refine ideas and prioritize usability

Consider scalability and future integration of full financial features in the design

Key Features in the Demo:

Dashboard view with sample financial data

Data insights or summary widgets

Navigation to simulate future account/services pages

Simple, elegant, and user-focused design

Ideal Candidate:

Experience designing financial, SaaS, or data-heavy applications

Strong UX research and wireframing skills

Portfolio showcasing clean, thoughtful UX design work

Proficient in tools like Figma, Adobe XD, or Sketch

Ability to balance simplicity with functional clarity

Bonus: Knowledge of Fintech trends or experience with finance platforms

Project Type:
One-time project (with long-term potential as we scale)

Timeline:
We’re looking to complete the demo within the next 2–3 weeks

Budget:
Negotiable based on experience – please include your rate and estimated timeline in your proposal.

To Apply:
Please share your:

Portfolio (especially any fintech or dashboard projects)

Short note about why you're a good fit for FinE Sol

Estimated time to complete the UX design for a 3–4 screen demo

We’re excited to collaborate with a designer who understands the importance of simplicity and trust in fintech design. Help us build the future of finance, one great experience at a time.","application","web","web","","","Web Design","Prototyping","Mobile App Design","Graphic Design","Mockup","","+3","Wireframing","User Flow","",""
"7 hours ago","PHP Software Developer for Transport Management Software","https://www.upwork.com/jobs/PHP-Software-Developer-for-Transport-Management-Software_~021917465925141830887/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$470.00","We are seeking a skilled PHP software developer to assist in enhancing our Transport Management System (TMS). Your expertise will be instrumental in taking our software to the next level, ensuring it meets the evolving needs of the transport industry. If you have a passion for problem-solving and a proven track record in PHP development, we'd love to hear from you. Join us in creating a robust and efficient TMS that streamlines transport operations.","","","","","","Web Application","PHP","API","MySQL","JavaScript","","","","","",""
"7 hours ago","E-commerce Management System With Dashboard and  and Mobile","https://www.upwork.com/jobs/commerce-Management-System-With-Dashboard-and-span-class-highlight-Web-span-and-Mobile-span-class-highlight-application-span_~021917465771858722767/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$200.00","Hi Freelancers,

The frontend of the mobile app is ready, there might be small changes that need to be made, 10 to 15% 

We are looking for someone who can develop an E-commerce app and  with a dashboard 

We are not going to stretch the budget. The budget we have given is final. Don't waste your time and our time if you genuinely work; only apply for the project.


App is on: Flutter
Dashboard is on: larval
Api is on: larval
Database: MySQL


Kindly apply only if you are interested","website","","","","","Web Application","Google Analytics","PHP","Java","Realm Database","Web Development","+2","JavaScript","","Web","application"
"7 hours ago","PWA Performance Tuning and Development Collaboration","https://www.upwork.com/jobs/PWA-Performance-Tuning-and-Development-Collaboration_~021917465368226340071/?referrer_url_path=/nx/search/jobs/","Hourly: $8.00 - $15.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking an experienced Progressive   (PWA) developer to enhance the performance of our . The ideal candidate will work closely with our team of developers to identify performance bottlenecks and implement effective solutions. Your expertise will play a crucial role in ensuring the  runs smoothly and efficiently, improving user experience. If you have a strong background in PWA development and performance optimization, we would love to hear from you!","Web","Application","application","application","","","JavaScript","PHP","HTML5","Node.js","","","MongoDB","","",""
"7 hours ago","Fitness App Development Specifications","https://www.upwork.com/jobs/Fitness-App-Development-Specifications_~021917460803351387367/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$1,600.00","This project involves developing a Windows-based fitness  designed to operate entirely within a local or private network—without requiring any internet connectivity. The core functionality centers around integrating a Bluetooth Low Energy (BLE) digital weight scale to automatically retrieve and store key body composition metrics.

The app will be tailored for desktop environments, specifically targeting secure, offline use cases such as in healthcare centers or corporate wellness facilities. While the initial release is limited to Windows, the architecture will be designed with flexibility to consider future expansions to Android or iOS if needed.

Core Features & Functionality
BLE Integration: The  will connect with a Bluetooth Low Energy (BLE) enabled smart weight scale. The specific model will be selected based on compatibility with GATT profiles or available SDKs.

Automatic Data Capture: When a user steps on the scale, the device will transmit:

Body Weight

BMI (Body Mass Index)

Body Fat Percentage

Muscle Mass

Other supported metrics (e.g., bone mass, water percentage)

User Profiles & History: Each user will have a profile within the app, with all measurements securely stored in a local database. The system will support historical data tracking and provide visual dashboards (charts, progress indicators).","application","application","","","","ASP.NET Web API","Angular","User Authentication","User Profile Creation","","","","","","",""
"8 hours ago","Crypto Trading platform - Multi-tenant +  + mobile app","https://www.upwork.com/jobs/Crypto-Trading-platform-Multi-tenant-span-class-highlight-web-span-mobile-app_~021917453388811771111/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$20,000.00","We are looking for a skilled developer to create a Crypto Trading platform to include  and mobile apps utilizing React Native, NodeJS, and a PostgreSQL database. The app will need to integrate into crypto currencies for real-time price details as well as provide buy/sell, analytics, and management both for the users and businesses. We will need to UX/UI, backend, front end, administration section, etc. We can also use Open Source to accelerate. 

The ideal candidate should have a strong background in  and mobile app development, the crypto market, and experience in financial applications. If you are passionate about technology and finance / crypto market, we would love to see your ! Please include examples of your previous work in mobile app development.","web","web","application","","","","MongoDB","PostgreSQL","Native App Development","Payment Gateway Integration","","+5","React Native","JavaScript","web",""
"8 hours ago","Full Stack Developer for   on AWS/GCP","https://www.upwork.com/jobs/Full-Stack-Developer-for-span-class-highlight-Web-span-span-class-highlight-Application-span-AWS-GCP_~021917453330634506191/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$250.00","We are seeking an experienced full stack developer to create a   from scratch and deploy it on AWS or GCP. The ideal candidate will have a strong understanding of both front-end and back-end technologies and experience with cloud deployment. We need a end to end   for our startup. Connect with us to get to know full about the project.
You will be responsible for developing robust  applications using MongoDB, Express.js, React.js, and Node.js. A strong understanding of Docker for containerization and deployment processes is essential. The ideal candidate should be able to manage the full software development lifecycle and collaborate effectively with our team. If you are passionate about building high-quality scalable applications, we want to hear from you!","web","application","web","application","web","Web Application","Payment Gateway Integration","JavaScript","API","Node.js","Amazon Web Services","+1","Python","","Web","Application"
"8 hours ago","App Developer (React + Python) – AI-Accelerated Build – Flat Rate","https://www.upwork.com/jobs/span-class-highlight-Web-span-App-Developer-React-Python-Accelerated-Build-Flat-Rate_~021917452168270958762/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","JOB DESCRIPTION:

 I’m looking for an experienced  developer to build a V1 of my . The overall concept is an easy-to-use calendar interface with a lot of drag-and-drop for organizing and re-working one’s calendar to balance personal, family and work activities.

 The design, user flows, and core feature set are already fully developed — I have a detailed Figma project, a workflow/user map, and clear descriptions of the calendaring categories and activities.

WHAT I NEED:
-Build an initial   (desktop-first; NOT mobile app)
- Use common frameworks: Suggested: React for frontend, Python (or another strong backend)
- Leverage AI tools to speed up development (e.g., AI converting Figma to HTML, AI scaffolding, etc.)

DEVOPS HELP:
- Set up a QA environment
- Prepare a beta version for external testers
- Deploy to a basic hosting setup (AWS, GCP, or similar)

KEY REQUIREMENTS:
- Experience building  applications (not just landing pages)
- Skilled with React and Python (or similar scalable frameworks)
- Ability to show real examples of where you've used AI tools to speed up development for recent work - ability to show previous work examples of easy-to-use drag-and-drop interface
- FLAT RATE pricing for the whole project
- Can work relatively independently with clear specs
- Strong technical skills — this is not just ""no-code"" work

BONUS:
- Experience setting up basic DevOps pipelines for startups (QA and Beta environments)
- Good communication and availability for occasional calls

TIMELINE:
- Target: 3 weeks to MVP completion

WHEN APPLYING, PLEASE INCLUDE:
1. A few examples of  apps you've built (especially using React + Python)
2. Examples where you used AI to assist coding (please explain how it helped and time saved)
3. A rough confirmation that the 3-week timeline is realistic for you, and when you would be available to start

ADDITIONAL MATERIALS I WILL PROVIDE:
- Complete Figma designs
- Full workflow (user map)
- Core category and activity descriptions

OTHER NOTES:
- Jurisdiction/location flexible — just need strong communication and quality work
- I have a consultant available to help me evaluate technical candidates if needed","web","application","web","application","web","Web Application","React","Python","","","Web Development","","","","Web","web"
